yyyy-mm-dd,folio_code,name,receipt numer,amount,type
2020-08-18,09-101-1062,Foreign Undergraduate Examination Fees,184635,2500,Credit
2020-08-18,09-101-1063,Foreign Undergraduate Registration Fees,184636,48350,Credit
2020-08-18,09-101-1064,Foreign Undergraduate Lab. & Other fees,184640,331935,Credit
2020-08-18,09-101-1065,Undergraduate Tuition Fee (Sandwich),184641,2250,Credit
2020-08-18,09-101-1066,Undergraduate Registration Fees,184642,408100,Credit
2020-08-18,09-101-1067,Undergraduate Examination Fees,184643,1000,Credit
2020-08-18,09-101-1068,Undergraduate Lab. & Workshop Fees,184644,106050,Credit
2020-08-18,09-101-1069,Income from Computer Services,184645,11087050,Credit
2020-08-18,09-101-1070,Foreign Post Graduate Tution Fees,184646,119050,Credit
2020-08-18,09-101-1071,Foreign Post GraduateRegistration Fees,184647,476240,Credit
2020-08-18,09-101-1072,Foreign Post GraduateExamination Fees,184684,2500,Credit
2020-08-18,09-101-1073,Foreign Post Graduate Lab. & Other Fees,184649,2955040.96,Credit
2020-08-18,09-101-1074,Post Graduate Tuition Fees,184650,1148550,Credit
2020-08-18,09-101-1075,Post Graduate Registration Fees,184651,1150,Credit
2020-08-18,09-101-1076,Post Graduate Examination Fees,184652,100250,Credit
2020-08-18,09-101-1077,Post Graduate Lab. & Other Fees,184653,7189000,Credit
2020-08-18,09-101-1079,University Primary School Tuition Fees,184654,2272500,Credit
2020-08-18,09-101-1080,University Primary School Development Levy,184655,2150,Credit
2020-08-18,09-101-1081,University Primary School Registration Fees,184656,30450,Credit
2020-08-18,09-101-1082,University Primary School Library Fees,184657,85060557.5,Credit
2020-08-18,09-101-1083,University Primary School Other Receipts,184658,500,Credit
2020-08-18,09-101-1084,Income from University Guest Houses,184659,114000,Credit
2020-08-18,09-632-1094,INCOME FROM FAPP - OTHERS,184660,618947.21,Credit
2020-08-18,09-661-1092,INCOME FROM FAPP - MBA PROGRAMME,184661,1447650,Credit
2020-08-18,09-761-1093,INCOME FROM FAPP - MPA PROGRAMME,184662,136496800,Credit
2020-08-18,09-762-1091,INCOME FROM FAPP - DIPLOMA PROGRAMME,184663,271545950,Credit
2020-08-18,09-763-1085,INCOME FROM COMPUTER TRAINING,184664,406595100,Credit
2020-08-18,09-763-1086,P.G PROSPECTUS,184665,541644250,Credit
2020-08-18,09-763-1090,INCOME FROM SANDWITCH PROG.,184666,676693400,Credit
2020-08-18,09-000-1023,Students Hostel Fees,184667,811742550,Credit
2020-08-18,09-000-1026,Rent on University Property,184668,946791700,Credit
2020-08-18,09-000-1027,House Rent From Staff,184669,1081840850,Credit
2020-08-18,09-000-1028,Hire of university Property,184670,1216890000,Credit
2020-08-18,09-000-1055,Rent on Staff Accomodation,184671,1351939150,Credit
2020-08-18,09-000-1021,Games Fees,184672,1486988300,Credit
2020-08-18,09-000-1024,Students Hire of Gowns,184673,1622037450,Credit
2020-08-18,09-000-1029,Treatment of Non University Patients,184674,1757086600,Credit
2020-08-18,09-000-1030,Income from Bank Deposits & Share Holdings,184675,1892135750,Credit
2020-08-18,09-000-1031,Income from University Press,184676,2027184900,Credit
2020-08-18,09-000-1032,Income from University Bus Service,184677,2162234050,Credit
2020-08-18,09-000-1033,Income from University Bookshop,184678,2297283200,Credit
2020-08-18,09-000-1034,Income from Consultancies,184679,2432332350,Credit
2020-08-18,09-000-1035,Contractors Registration,184680,2567381500,Credit
2020-08-18,09-000-1036,Disposal of Assets Income,184681,2702430650,Credit
2020-08-18,09-000-1038,Income from Donation Bio Garden,184682,2837479800,Credit
2020-08-18,09-000-1039,Sundry Other Incomes,184683,2972528950,Credit
2020-08-18,09-000-1040,Interest on Current Account,184684,3107578100,Credit
2020-08-18,09-000-1041,Income from revolving Loan form,184685,3242627250,Credit
2020-08-18,09-000-1044,Students fees Vacation Residence,184686,3377676400,Credit
2020-08-18,09-000-1045,Publication,184687,3512725550,Credit
2020-08-18,09-000-1046,Income on Investments,184688,3647774700,Credit
2020-08-18,09-000-1047,Admin Charges on Funded Project,184689,3782823850,Credit
2020-08-18,09-000-1048,Insurance Claims Others,184690,3917873000,Credit
2020-08-18,09-000-1049,Breakages and Damages,184691,4052922150,Credit
2020-08-18,09-000-1050,Disciplinary Fine,184692,4187971300,Credit
2020-08-18,09-000-1051,Insurance Claims Others,184693,4323020450,Credit
2020-08-18,09-000-1054,Interest on Univ Housing Loan,184694,4458069600,Credit
2020-08-18,09-000-1056,Income from Donat. Bio garden,184695,4593118750,Credit
2020-08-18,09-000-1057,Income student restitution fee,184696,4728167900,Credit
2020-08-18,09-000-1058,Interest on Motorcycle Loan,184697,4863217050,Credit
2020-08-18,09-000-1059,Income Lib.& Public Committee,184698,4998266200,Credit
2020-08-18,09-000-1060,Interest on foreign Accounts,184699,5133315350,Credit
2020-08-18,09-000-1061,Utility Income,184700,5268364500,Credit
2020-08-18,09-000-1062,Income from Vsat Venture,184701,5403413650,Credit
2020-08-18,09-000-1063,COBES Charges,184702,5538462800,Credit
2020-08-18,09-000-1064,Admission Forms,184703,5673511950,Credit
2020-08-18,09-000-1065,Transfer Form,184704,5808561100,Credit
2020-08-18,09-000-1070,Sale of Current Book & Journal,184705,5943610250,Credit
2020-08-18,09-000-1071,Library photocopying,184706,6078659400,Credit
2020-08-18,09-000-1072,Donation to Library,184707,6213708550,Credit
2020-08-18,09-000-1073,Identity Cards,184708,6348757700,Credit
2020-08-18,09-000-1076,STAFF I. D CARD,184709,6483806850,Credit
2020-08-18,09-000-1077,INCOME FROM FITNESS CENTRE,184710,6618856000,Credit
2020-08-18,09-000-1078,INCOME FROM MEDICAL EXAM/REFERRAL,184711,6753905150,Credit
2020-08-18,09-000-1079,TRANSCRIPT CHARGE,184712,6888954300,Credit
2020-08-18,09-000-1080,INCOME FROM ORDER OF PROCEEDING,184713,7024003450,Credit
2020-08-18,09-000-1081,STAFF QTRS ELECTRICITY CHARGE,184714,7159052600,Credit
2020-08-18,09-000-1082,M/V LOAN INTEREST,184715,7294101750,Credit
2020-08-18,09-000-1086,INCOME FROM GNS BOOKS,184716,7429150900,Credit
2020-08-18,09-000-1089,GENERAL UNIVERSITY DONATION,184717,7564200050,Credit
2020-08-18,09-000-1090,BIOLOGICAL GARGEN GATE TAKINGS,184718,7699249200,Credit
2020-08-18,09-000-1091,CONVOCATION SOUVENIR,184719,7834298350,Credit
2020-08-18,09-000-1092,ADMINISTRATIVE CHARGES INCOME,184720,7969347500,Credit
2020-08-18,09-000-1093,I S O INCOME,184721,8104396650,Credit
2020-08-18,09-000-1096,INCOME/LOSS ON FOREIGN EXCHANGE,184722,8239445800,Credit
2020-08-18,09-000-1097,NHIS CAPITATION,184723,8374494950,Credit
2020-08-18,09-000-1098,UNIVERSITY ENDOWMENT INCOME,184724,8509544100,Credit
2020-08-18,09-101-1078,Income from University Farms,184725,8644593250,Credit
